Overall Rating,Type Of Traveller,Seat Type,Arrival City,A Country UV,UVA Coordinates,Departure City,D Country UV,UVD Coordinates,Date Flown
8,Couple Leisure,Business  ,London,United Kingdom,,Dublin,Ireland,,11/1/2023
1,Couple Leisure,Economy  ,London,United Kingdom,,Lisbon,Portugal,,11/1/2023
2,Family Leisure,Economy  ,London,United Kingdom,,Atlanta,United States,,11/1/2023
8,Couple Leisure,Business  ,Dublin,Ireland,,London,United Kingdom,,11/1/2023
7,Business,Economy  ,London,United Kingdom,,Cairo,Egypt,,10/1/2023
1,Couple Leisure,Economy  ,Seattle,United States,,Porto,Portugal,,10/1/2023
8,Couple Leisure,Economy  ,Malta,Malta,,London,United Kingdom,,10/1/2023
3,Solo Leisure,Economy  ,London,United Kingdom,,Amsterdam,Netherlands,,10/1/2023
1,Couple Leisure,Economy  ,London,United Kingdom,,Austin,United States,,10/1/2023
4,Couple Leisure,Economy  ,London,United Kingdom,,Punta Cana,Dominican Republic,,10/1/2023
1,Couple Leisure,Business  ,,,,Marseille,France,,8/1/2023
2,Couple Leisure,Economy  ,Chicago,United States,,Manchester,United Kingdom,,10/1/2023
2,Couple Leisure,Business  ,,,,Istanbul,Turkey,,9/1/2023
1,Family Leisure,Economy  ,San Diego,United States,,Marseille,France,,8/1/2023
1,Business,Premium Economy,Hamburg,Germany,,Las Vegas,United States,,8/1/2023
1,Family Leisure,Economy  ,London,United Kingdom,,Los Angeles,United States,,7/1/2023
1,Couple Leisure,Economy  ,London,United Kingdom,,Dalaman,Turkey,,9/1/2023
1,Couple Leisure,Business  ,London,United Kingdom,,Faro,Portugal,,9/1/2023
1,Solo Leisure,Economy  ,Kuwait City,Kuwait,,Lisbon,Portugal,,9/1/2023
1,Couple Leisure,Economy  ,Newark,United States,,London,United Kingdom,,6/1/2023
2,Family Leisure,Economy  ,London,United Kingdom,,Paris,France,,8/1/2023
2,Family Leisure,Economy  ,London,United Kingdom,,Algiers,Algeria,,8/1/2023
1,Solo Leisure,Economy  ,London,United Kingdom,,Vienna,Austria,,8/1/2023
1,Couple Leisure,Premium Economy,Inverness,United Kingdom,,Los Angeles,United States,,11/1/2022
8,Couple Leisure,Business  ,Dalaman,Turkey,,London,United Kingdom,,6/1/2023
2,Couple Leisure,Economy  ,London,United Kingdom,,Dalaman,Turkey,,6/1/2023
1,Solo Leisure,Business  ,London,United Kingdom,,Miami,United States,,6/1/2023
2,Solo Leisure,Economy  ,Amman,Jordan,,London,United Kingdom,,7/1/2023
4,Family Leisure,Premium Economy,Kingston,Jamaica,,London,United Kingdom,,6/1/2023
3,Couple Leisure,Economy  ,London,United Kingdom,,Naples,Italy,,6/1/2023
2,Couple Leisure,Economy  ,Cairo,Egypt,,London,United Kingdom,,6/1/2023
4,Solo Leisure,Economy  ,Amman,Jordan,,London,United Kingdom,,6/1/2023
1,Couple Leisure,Economy  ,London,United Kingdom,,Funchal,Portugal,,6/1/2023
1,Family Leisure,Economy  ,Marseille,France,,Seattle,United States,,6/1/2023
1,Solo Leisure,Economy  ,Bucharest,Romania,,Dallas,United States,,6/1/2023
1,Business,Economy  ,Seattle,United States,,Edinburgh,United Kingdom,,5/1/2023
1,Solo Leisure,Economy  ,Las Vegas,United States,,Venice,Italy,,5/1/2023
1,Couple Leisure,Premium Economy,Dallas,United States,,Madrid,Spain,,5/1/2023
10,Couple Leisure,Economy  ,London,United Kingdom,,Valencia,Spain,,3/1/2023
4,Couple Leisure,Business  ,London,United Kingdom,,Nice,France,,5/1/2023
3,Couple Leisure,Business  ,Los Angeles,United States,,London,United Kingdom,,5/1/2023
5,Couple Leisure,Business  ,Singapore,Singapore,,London,United Kingdom,,4/1/2023
1,Couple Leisure,Economy  ,Sweden,Sweden,,Los Angeles,United States,,1/1/2023
2,Couple Leisure,Premium Economy,Seattle,United States,,Zagreb,Croatia,,4/1/2023
2,Couple Leisure,Economy  ,Brussels,Belgium,,Los Angeles,United States,,4/1/2023
5,Couple Leisure,Economy  ,Copenhagen,Denmark,,London,United Kingdom,,4/1/2023
1,Business,Economy  ,Dublin,Ireland,,London,United Kingdom,,4/1/2023
2,Couple Leisure,Economy  ,London,United Kingdom,,Malta,Malta,,4/1/2023
10,Couple Leisure,Business  ,Mexico City,Mexico,,Amsterdam,Netherlands,,3/1/2023
3,Couple Leisure,Economy  ,London,United Kingdom,,Lanzarote,Spain,,3/1/2023
1,Couple Leisure,Economy  ,Marrakech,Morocco,,London,United Kingdom,,3/1/2023
1,Couple Leisure,Economy  ,London,United Kingdom,,Marrakech,Morocco,,3/1/2023
1,Family Leisure,Economy  ,London,United Kingdom,,Algiers,Algeria,,5/1/2022
1,Solo Leisure,Economy  ,Munich,Germany,,London,United Kingdom,,3/1/2023
1,Business,Economy  ,London,United Kingdom,,Amsterdam,Netherlands,,3/1/2023
2,Couple Leisure,Premium Economy,New York City,United States,,,,,3/1/2023
1,Solo Leisure,Economy  ,Dublin,Ireland,,Orlando,United States,,12/1/2022
2,Business,Business  ,London,United Kingdom,,Dubai,United Arab Emirates,,12/1/2022
1,Couple Leisure,Business  ,Portland,United States,,Tel Aviv,Israel,,3/1/2023
4,Couple Leisure,Premium Economy,London,United Kingdom,,Las Vegas,United States,,3/1/2023
3,Couple Leisure,Economy  ,Johannesburg,South Africa,,Los Angeles,United States,,1/1/2023
2,Solo Leisure,Economy  ,London,United Kingdom,,Alicante,Spain,,1/1/2023
3,Solo Leisure,Premium Economy,London,United Kingdom,,Athens (Greece),,,4/1/2022
5,Family Leisure,Economy  ,London,United Kingdom,,Chicago,United States,,12/1/2022
1,Family Leisure,Economy  ,Istanbul,Turkey,,Vancouver,Canada,,1/1/2023
4,Couple Leisure,Business  ,London,United Kingdom,,Barbados,Barbados,,12/1/2022
1,Solo Leisure,Economy  ,Keflavik,Iceland,,London,United Kingdom,,12/1/2022
1,Business,Business  ,London,United Kingdom,,Frankfurt,Germany,,10/1/2022
2,Couple Leisure,Premium Economy,London,United Kingdom,,Cancun,Mexico,,11/1/2022
8,Solo Leisure,Economy  ,Doha,Qatar,,London,United Kingdom,,11/1/2022
1,Solo Leisure,Economy  ,Milan,Italy,,Dallas,United States,,11/1/2022
1,Solo Leisure,Business  ,London,United Kingdom,,Nairobi,Kenya,,10/1/2022
7,Couple Leisure,Economy  ,London,United Kingdom,,Los Angeles,United States,,10/1/2022
1,Couple Leisure,Economy  ,London,United Kingdom,,Cairo,Egypt,,10/1/2022
6,Couple Leisure,Economy  ,Dallas,United States,,London,United Kingdom,,9/1/2022
10,Solo Leisure,Premium Economy,,,,Mexico City,Mexico,,9/1/2022
4,Solo Leisure,Economy  ,Sydney,Australia,,London,United Kingdom,,9/1/2022
2,Couple Leisure,Economy  ,London,United Kingdom,,Manchester,United Kingdom,,9/1/2022
2,Family Leisure,Economy  ,London,United Kingdom,,Rome,Italy,,8/1/2022
1,Business,Economy  ,,,,Tenerife,Spain,,11/1/2021
10,Couple Leisure,Economy  ,Berlin,Germany,,London City,United Kingdom,,8/1/2022
10,Couple Leisure,Economy  ,London,United Kingdom,,New York,United States,,7/1/2022
1,Family Leisure,Economy  ,Cape Town,South Africa,,London,United Kingdom,,8/1/2022
8,Couple Leisure,Premium Economy,Dallas Fort Worth,United States,,London,United Kingdom,,5/1/2022
1,Couple Leisure,Economy  ,Vancouver,Canada,,Amsterdam,Netherlands,,6/1/2022
5,Couple Leisure,Economy  ,Sao Paulo,Brazil,,,,,7/1/2022
10,Couple Leisure,Business  ,London,United Kingdom,,Toronto,Canada,,7/1/2022
2,Solo Leisure,Premium Economy,Nairobi,Kenya,,New York,United States,,7/1/2022
1,Couple Leisure,Business  ,Dublin,Ireland,,London City,United Kingdom,,7/1/2022
4,Solo Leisure,Premium Economy,Venice,Italy,,Baltimore,United States,,7/1/2022
1,Couple Leisure,Premium Economy,London,United Kingdom,,Nairobi,Kenya,,6/1/2022
1,Family Leisure,Economy  ,Belfast,United Kingdom,,London,United Kingdom,,6/1/2022
1,Family Leisure,Business  ,,,,,,,6/1/2022
1,Couple Leisure,Economy  ,London,United Kingdom,,Paris,France,,7/1/2021
1,Business,Business  ,Miami,United States,,Paris,France,,6/1/2022
1,Family Leisure,Economy  ,Edmonton,Canada,,,,,6/1/2022
1,Couple Leisure,Premium Economy,Amsterdam,Netherlands,,Montreal,Canada,,6/1/2022
4,Business,Economy  ,London,United Kingdom,,Johannesburg,South Africa,,6/1/2022
1,Couple Leisure,Economy  ,Boston,United States,,,,,6/1/2022
1,Couple Leisure,Economy  ,,,,,,,6/1/2022
5,Couple Leisure,Premium Economy,Cancun,Mexico,,London,United Kingdom,,6/1/2022
4,Couple Leisure,Economy  ,Phoenix,United States,,Hamburg,Germany,,6/1/2022
9,Solo Leisure,Economy  ,Johannesburg,South Africa,,Toronto,Canada,,5/1/2022
8,Couple Leisure,Business  ,Johannesburg,South Africa,,London,United Kingdom,,4/1/2022
1,Family Leisure,Business  ,London,United Kingdom,,Malaga,Spain,,5/1/2022
2,Couple Leisure,Business  ,Dubrovnik,Croatia,,London,United Kingdom,,5/1/2022
1,Solo Leisure,Economy  ,London,United Kingdom,,Geneva,Switzerland,,3/1/2022
2,Solo Leisure,Economy  ,Basel,Switzerland,,Johannesburg,South Africa,,5/1/2022
1,Business,Economy  ,Glasgow,United Kingdom,,New York,United States,,5/1/2022
3,Solo Leisure,Economy  ,London,United Kingdom,,Los Angeles,United States,,5/1/2022
1,Solo Leisure,Economy  ,London,United Kingdom,,Cape Town,South Africa,,4/1/2022
10,Couple Leisure,Business  ,Dubrovnik,Croatia,,London,United Kingdom,,4/1/2022
1,Couple Leisure,Economy  ,Johannesburg,South Africa,,Durban,South Africa,,4/1/2022
1,Couple Leisure,Economy  ,Gothenburg,Sweden,,Manchester,United Kingdom,,4/1/2022
9,Solo Leisure,Business  ,Chicago,United States,,London,United Kingdom,,3/1/2022
