Overall Rating,Type Of Traveller,Seat Type,Arrival,A Country V,Departure,D Country V,Date Flown
1,Couple Leisure,Economy  ,London,United Kingdom,Stuttgart,Germany,11/1/2023
3,Business,Economy  ,Brussels,Belgium,London,United Kingdom,11/1/2023
1,Couple Leisure,Economy  ,London,United Kingdom,Dublin,Ireland,12/1/2022
1,Solo Leisure,Economy  ,Bucharest,Romania,Manchester,United Kingdom,9/1/2023
8,Couple Leisure,Premium Economy,Manchester,United Kingdom,Cape Town,South Africa,11/1/2023
7,Solo Leisure,Economy  ,Seville,Spain,London,United Kingdom,11/1/2023
3,Couple Leisure,Economy  ,London,United Kingdom,Antalya,Turkey,10/1/2023
1,Couple Leisure,Economy  ,Anchorage,United States,,,10/1/2023
6,Solo Leisure,Economy  ,London,United Kingdom,Gibraltar,Gibraltar,10/1/2023
8,Couple Leisure,Economy  ,London,United Kingdom,Philadelphia,United States,10/1/2023
4,Solo Leisure,Economy  ,San Francisco,United States,London,United Kingdom,10/1/2023
1,Solo Leisure,Business  ,İstanbul,Turkey,London,United Kingdom,10/1/2023
1,Solo Leisure,Economy  ,Geneva,Switzerland,London,United Kingdom,10/1/2023
1,Couple Leisure,Economy  ,İstanbul,Turkey,,,10/1/2023
5,Couple Leisure,Business  ,Portland,United States,London,United Kingdom,9/1/2023
3,Solo Leisure,Economy  ,London,United Kingdom,Geneva,Switzerland,10/1/2023
5,Business,Business  ,London,United Kingdom,Istanbul,Turkey,10/1/2023
1,Solo Leisure,Business  ,London,United Kingdom,Hong Kong,Hong Kong,7/1/2023
1,Couple Leisure,Economy  ,Catania,Italy,London,United Kingdom,10/1/2023
2,Couple Leisure,Economy  ,London,United Kingdom,Venice,Italy,9/1/2023
1,Solo Leisure,Economy  ,Berlin,Germany,London,United Kingdom,10/1/2023
1,Couple Leisure,Economy  ,Atlanta,United States,Glasgow,United Kingdom,9/1/2023
1,Couple Leisure,Economy  ,Singapore,Singapore,Sydney,Australia,10/1/2023
10,Solo Leisure,First  ,London,United Kingdom,New York,United States,10/1/2023
2,Business,Business  ,London,United Kingdom,Munich,Germany,9/1/2023
3,Business,Economy  ,London,United Kingdom,Geneva,Switzerland,10/1/2023
1,Couple Leisure,Business  ,Athens,Greece,London,United Kingdom,9/1/2023
3,Business,Economy  ,Milan,Italy,San Jose,United States,9/1/2023
4,Couple Leisure,First  ,Dallas,United States,Dubrovnik,Croatia,9/1/2023
1,Business,Business  ,London,United Kingdom,Seville,Spain,9/1/2023
1,Couple Leisure,Economy  ,London,United Kingdom,Tokyo,Japan,9/1/2023
1,Solo Leisure,Business  ,Miami,United States,Dublin,Ireland,8/1/2023
1,Business,Business  ,Prague,Czech Republic,San Francisco,United States,9/1/2023
1,Business,Economy  ,London,United Kingdom,Glasgow,United Kingdom,9/1/2023
6,Couple Leisure,Business  ,London,United Kingdom,Porto,Portugal,9/1/2023
2,Solo Leisure,Economy  ,Johannesburg,South Africa,Milan,Italy,9/1/2023
1,Business,Business  ,Madrid,Spain,Vancouver,Canada,4/1/2023
8,Couple Leisure,Business  ,London,United Kingdom,Santiago,Chile,9/1/2023
1,Couple Leisure,Economy  ,London,United Kingdom,Munich,Germany,9/1/2023
1,Solo Leisure,Economy  ,Frankfurt,Germany,London City,United Kingdom,9/1/2023
8,Couple Leisure,Business  ,London,United Kingdom,Keflavik,Iceland,8/1/2023
8,Couple Leisure,Business  ,Mumbai,India,London,United Kingdom,8/1/2023
2,Business,Premium Economy,Houston,United States,London,United Kingdom,9/1/2023
1,Solo Leisure,Business  ,London,United Kingdom,Miami,United States,9/1/2023
1,,Economy  ,Los Angeles,United States,London,United Kingdom,8/1/2023
1,Couple Leisure,Economy  ,New York,United States,Malaga,Spain,6/1/2023
1,Couple Leisure,Premium Economy,Chicago,United States,Rome,Italy,7/1/2023
1,Solo Leisure,Business  ,London,United Kingdom,Malaga,Spain,8/1/2023
1,Solo Leisure,Economy  ,Frankfurt,Germany,London,United Kingdom,8/1/2023
1,Couple Leisure,Business  ,Tenerife,Spain,London,United Kingdom,8/1/2023
3,Business,Business  ,London,United Kingdom,Malaga,Spain,8/1/2023
1,Business,Business  ,London,United Kingdom,Johannesburg,South Africa,8/1/2023
8,Couple Leisure,Business  ,London,United Kingdom,Los Angeles,United States,8/1/2023
1,Family Leisure,Economy  ,Delhi,India,Vancouver,Canada,12/1/2022
1,Solo Leisure,Economy  ,Copenhagen,Denmark,London,United Kingdom,6/1/2023
4,Solo Leisure,Business  ,Larnaca,Cyprus,London,United Kingdom,7/1/2023
7,Family Leisure,Economy  ,Washington,United States,London,United Kingdom,8/1/2023
8,Family Leisure,Business  ,London,United Kingdom,Miami,United States,8/1/2023
10,Couple Leisure,Economy  ,Edinburgh,United Kingdom,London City,United Kingdom,7/1/2023
1,Business,Economy  ,San Francisco,United States,Warsaw,Poland,7/1/2023
1,Business,Economy  ,Frankfurt,Germany,London City,United Kingdom,8/1/2023
1,Solo Leisure,Economy  ,London,United Kingdom,Lyon,France,8/1/2023
10,Solo Leisure,Business  ,London,United Kingdom,Hong Kong,Hong Kong,7/1/2023
1,Couple Leisure,Economy  ,London,United Kingdom,Montpelier,France,7/1/2023
9,Couple Leisure,Business  ,London,United Kingdom,Mumbai,India,7/1/2023
6,Couple Leisure,Business  ,Keflavik,Iceland,London,United Kingdom,7/1/2023
1,Solo Leisure,Economy  ,Gibraltar,Gibraltar,London,United Kingdom,5/1/2023
1,Family Leisure,Business  ,Madrid,Spain,London,United Kingdom,7/1/2023
2,Family Leisure,Economy  ,Rhodes,Greece,London,United Kingdom,7/1/2023
1,Family Leisure,Economy  ,Barcelona,Spain,London,United Kingdom,7/1/2023
1,Couple Leisure,Economy  ,London City Airport,United Kingdom,Frankfurt,Germany,7/1/2023
4,Business,Economy  ,Amsterdam,Netherlands,London,United Kingdom,7/1/2023
2,Solo Leisure,Economy  ,Seattle,United States,London,United Kingdom,6/1/2023
1,Family Leisure,Business  ,London,United Kingdom,Rhodes,Greece,7/1/2023
9,Family Leisure,Business  ,Newcastle,United Kingdom,Las Vegas,United States,6/1/2023
4,Couple Leisure,Premium Economy,Chennai,India,London,United Kingdom,7/1/2023
